bpid,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches,,,,,,,,,,,,,,,,,,,,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches
104258,650556,Bryan Abreu,2020,23,HOU,RP,4,0,3.3,76,,,,,,,,,,,,,,,,,,,,650556,Bryan Abreu,2020,23,HOU,RP,4,0,3.3,76
108888,650530,Bryan Garcia,2020,25,DET,RP,26,0,21.7,332,,,,,,,,,,,,,,,,,,,,650530,Bryan Garcia,2020,25,DET,RP,26,0,21.7,332
58661,543766,Bryan Shaw,2020,32,SEA,RP,6,0,6,153,,,,,,,,,,,,,,,,,,,,543766,Bryan Shaw,2020,32,SEA,RP,6,0,6.0,153
109108,669060,Bryse Wilson,2020,22,ATL,RP,4,0,7.7,170,,,,,,,,,,,,,,,,,,,,669060,Bryse Wilson,2020,22,ATL,RP,4,0,7.7,170
109108,669060,Bryse Wilson,2020,22,ATL,SP,2,2,8,143,,,,,,,,,,,,,,,,,,,,669060,Bryse Wilson,2020,22,ATL,SP,2,2,8.0,143
100067,571656,Buck Farmer,2020,29,DET,RP,23,0,21.3,341,,,,,,,,,,,,,,,,,,,,571656,Buck Farmer,2020,29,DET,RP,23,0,21.3,341
68471,572143,Burch Smith,2020,30,OAK,RP,6,0,12,153,,,,,,,,,,,,,,,,,,,,572143,Burch Smith,2020,30,OAK,RP,6,0,12.0,153
107446,670056,Caleb Baragar,2020,26,SF,RP,23,0,21.3,337,,,,,,,,,,,,,,,,,,,,670056,Caleb Baragar,2020,26,SF,RP,23,0,21.3,337
107446,670056,Caleb Baragar,2020,26,SF,SP,1,1,1,12,,,,,,,,,,,,,,,,,,,,670056,Caleb Baragar,2020,26,SF,SP,1,1,1.0,12
105950,657571,Caleb Ferguson,2020,23,LAD,RP,20,0,17.7,289,,,,,,,,,,,,,,,,,,,,657571,Caleb Ferguson,2020,23,LAD,RP,20,0,17.7,289
105950,657571,Caleb Ferguson,2020,23,LAD,SP,1,1,1,15,,,,,,,,,,,,,,,,,,,,657571,Caleb Ferguson,2020,23,LAD,SP,1,1,1.0,15
102044,592761,Caleb Smith,2020,28,MIA,SP,1,1,3,70,,,,,,,,,,,,,,,,,,,,592761,Caleb Smith,2020,28,MIA,SP,1,1,3.0,70
102044,592761,Caleb Smith,2020,28,AZ,RP,1,0,2,18,,,,,,,,,,,,,,,,,,,,592761,Caleb Smith,2020,28,AZ,RP,1,0,2.0,18
102044,592761,Caleb Smith,2020,28,AZ,SP,3,3,9,179,,,,,,,,,,,,,,,,,,,,592761,Caleb Smith,2020,28,AZ,SP,3,3,9.0,179
60922,573204,Caleb Thielbar,2020,33,MIN,RP,17,0,20,371,,,,,,,,,,,,,,,,,,,,573204,Caleb Thielbar,2020,33,MIN,RP,17,0,20.0,371
108430,615698,Cal Quantrill,2020,25,SD,RP,9,0,13.7,237,,,,,,,,,,,,,,,,,,,,615698,Cal Quantrill,2020,25,SD,RP,9,0,13.7,237
108430,615698,Cal Quantrill,2020,25,SD,SP,1,1,3.7,66,,,,,,,,,,,,,,,,,,,,615698,Cal Quantrill,2020,25,SD,SP,1,1,3.7,66
108430,615698,Cal Quantrill,2020,25,CLE,RP,6,0,7.7,128,,,,,,,,,,,,,,,,,,,,615698,Cal Quantrill,2020,25,CLE,RP,6,0,7.7,128
108430,615698,Cal Quantrill,2020,25,CLE,SP,2,2,7,73,,,,,,,,,,,,,,,,,,,,615698,Cal Quantrill,2020,25,CLE,SP,2,2,7.0,73
66930,592135,Cam Bedrosian,2020,28,LAA,RP,11,0,14.7,241,,,,,,,,,,,,,,,,,,,,592135,Cam Bedrosian,2020,28,LAA,RP,11,0,14.7,241
105122,657611,Cam Hill,2020,26,CLE,RP,18,0,18.3,291,,,,,,,,,,,,,,,,,,,,657611,Cam Hill,2020,26,CLE,RP,18,0,18.3,291
71343,605218,Carl Edwards Jr.,2020,28,SEA,RP,5,0,4.7,56,,,,,,,,,,,,,,,,,,,,605218,Carl Edwards Jr.,2020,28,SEA,RP,5,0,4.7,56
47229,471911,Carlos Carrasco,2020,33,CLE,SP,12,12,68,1101,,,,,,,,,,,,,,,,,,,,471911,Carlos Carrasco,2020,33,CLE,SP,12,12,68.0,1101
70188,608032,Carlos Estévez,2020,27,COL,RP,26,0,24,436,,,,,,,,,,,,,,,,,,,,608032,Carlos Estévez,2020,27,COL,RP,26,0,24.0,436
